Categoria = 0, Prefix = 010, Comprimento total = 3, Comprimento da mantissa = 0
Categoria = 1, Prefix = 0111, Comprimento total = 4, Comprimento da mantissa = 1
Categoria = 2, Prefix = 10010, Comprimento total = 5, Comprimento da mantissa = 2
Categoria = 2, Prefix = 10011, Comprimento total = 5, Comprimento da mantissa = 2
Categoria = 3, Prefix = 00100, Comprimento total = 5, Comprimento da mantissa = 3
Categoria = 3, Prefix = 00101, Comprimento total = 5, Comprimento da mantissa = 3
Categoria = 3, Prefix = 00110, Comprimento total = 5, Comprimento da mantissa = 3
Categoria = 3, Prefix = 00111, Comprimento total = 5, Comprimento da mantissa = 3
Categoria = 4, Prefix = 1011000, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011001, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011010, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011011, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011100, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011101, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011110, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 4, Prefix = 1011111, Comprimento total = 7, Comprimento da mantissa = 4
Categoria = 5, Prefix = 11010000, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010001, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010010, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010011, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010100, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010101, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010110, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11010111, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011000, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011001, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011010, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011011, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011100, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011101, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011110, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 5, Prefix = 11011111, Comprimento total = 8, Comprimento da mantissa = 5
Categoria = 6, Prefix = 1110100000, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100001, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100010, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100011, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100100, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100101, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100110, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110100111, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101000, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101001, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101010, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101011, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101100, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101101, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101110, Comprimento total = 10, Comprimento da mantissa = 6
Categoria = 6, Prefix = 1110101111, Comprimento total = 10, Comprimento da mantissa = 6
